experimentPhase	trialnum	subject	task	noisePercent	ISIframes	lltrColorThis	leftStreamFlip	rightStreamFlip	rightResponseFirst	probe	trialInstructionPos	responseOrder0	responseOrder1	responseOrder2	answer0	response0	correct0	answer1	response1	correct1	answer2	response2	correct2	timingBlips
main	79	aholcombe 	 T1 	0	3	0.95	False 	False 	False 	both 	"(0, 1) "	2	0	1	R 	R 	1	Z 	Z 	1	G 	G 	1	0
main	80	aholcombe 	 T1 	0	3	0.95	False 	False 	True 	both 	"(0, 1) "	2	0	1	M 	N 	0	J 	Z 	0	M 	M 	1	0
main	81	aholcombe 	 T1 	0	3	1	False 	False 	True 	both 	"(0, -1) "	2	0	1	G 	G 	1	K 	K 	1	N 	H 	0	0
main	82	aholcombe 	 T1 	0	3	1	False 	False 	False 	both 	"(0, 1) "	1	0	2	Z 	Z 	1	K 	U 	0	F 	F 	1	0
main	83	aholcombe 	 T1 	0	3	1	False 	False 	False 	both 	"(0, -1) "	1	0	2	T 	H 	0	H 	T 	0	T 	T 	1	0
main	84	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, 1) "	2	1	0	T 	T 	1	R 	H 	0	N 	N 	1	0
main	85	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, -1) "	1	0	2	R 	R 	1	N 	N 	1	F 	F 	1	0
main	86	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, -1) "	2	1	0	C 	C 	1	J 	J 	1	F 	F 	1	0
main	87	aholcombe 	 T1 	0	3	1	False 	False 	True 	both 	"(0, 1) "	2	1	0	R 	R 	1	K 	K 	1	E 	E 	1	0
main	88	aholcombe 	 T1 	0	3	1	False 	False 	True 	both 	"(0, -1) "	1	0	2	K 	S 	0	H 	H 	1	A 	E 	0	0
main	89	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, -1) "	0	1	2	M 	M 	1	F 	I 	0	K 	K 	1	0
main	90	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, 1) "	2	1	0	C 	C 	1	M 	M 	1	Y 	Y 	1	0
main	91	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, 1) "	1	2	0	E 	E 	1	T 	E 	0	C 	E 	0	0
main	92	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, -1) "	0	2	1	U 	M 	0	F 	S 	0	S 	I 	0	0
main	93	aholcombe 	 T1 	0	4	0.15	False 	False 	False 	both 	"(0, 1) "	1	2	0	K 	K 	1	M 	M 	1	U 	K 	0	0
main	94	aholcombe 	 T1 	0	4	0.15	False 	False 	True 	both 	"(0, 1) "	2	0	1	Y 	Y 	1	A 	A 	1	J 	I 	0	0
main	95	aholcombe 	 T1 	0	4	0.15	False 	False 	False 	both 	"(0, -1) "	1	0	2	G 	G 	1	F 	I 	0	Y 	Y 	1	0
main	96	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, 1) "	2	1	0	J 	G 	0	R 	J 	0	S 	S 	1	0
main	97	aholcombe 	 T1 	0	4	0.15	False 	False 	False 	both 	"(0, -1) "	0	2	1	R 	R 	1	C 	J 	0	U 	R 	0	0
main	98	aholcombe 	 T1 	0	4	0.2	False 	False 	False 	both 	"(0, 1) "	2	0	1	R 	R 	1	N 	N 	1	E 	R 	0	0
main	99	aholcombe 	 T1 	0	4	0.2	False 	False 	True 	both 	"(0, -1) "	2	1	0	M 	M 	1	Y 	Y 	1	Z 	Z 	1	0
main	100	aholcombe 	 T1 	0	4	0.2	False 	False 	True 	both 	"(0, 1) "	0	2	1	Z 	Z 	1	U 	U 	1	C 	C 	1	0
main	101	aholcombe 	 T1 	0	4	0.15	False 	False 	False 	both 	"(0, -1) "	1	0	2	K 	A 	0	A 	K 	0	N 	K 	0	0
main	102	aholcombe 	 T1 	0	4	0.2	False 	False 	False 	both 	"(0, 1) "	2	0	1	R 	R 	1	T 	J 	0	R 	R 	1	0
main	103	aholcombe 	 T1 	0	4	0.2	False 	False 	True 	both 	"(0, -1) "	1	2	0	K 	K 	1	H 	K 	0	K 	K 	1	0
main	104	aholcombe 	 T1 	0	4	0.2	False 	False 	True 	both 	"(0, 1) "	1	0	2	Y 	J 	0	U 	U 	1	S 	S 	1	0
main	105	aholcombe 	 T1 	0	4	0.15	False 	False 	True 	both 	"(0, -1) "	0	2	1	M 	M 	1	A 	A 	1	M 	M 	1	0
main	106	aholcombe 	 T1 	0	4	0.15	False 	False 	False 	both 	"(0, 1) "	0	2	1	H 	H 	1	C 	C 	1	M 	H 	0	0
main	107	aholcombe 	 T1 	0	4	0.15	False 	False 	False 	both 	"(0, -1) "	0	2	1	E 	E 	1	T 	T 	1	T 	T 	1	0
main	108	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, -1) "	0	1	2	T 	T 	1	H 	H 	1	Z 	C 	0	0
main	109	aholcombe 	 T1 	0	4	0.1	False 	False 	False 	both 	"(0, 1) "	0	1	2	M 	M 	1	H 	R 	0	R 	R 	1	0
main	110	aholcombe 	 T1 	0	4	0.1	False 	False 	False 	both 	"(0, -1) "	1	2	0	G 	G 	1	A 	A 	1	Y 	Y 	1	0
main	111	aholcombe 	 T1 	0	4	0.05	False 	False 	True 	both 	"(0, 1) "	2	1	0	G 	G 	1	H 	A 	0	N 	H 	0	0
main	112	aholcombe 	 T1 	0	4	0.1	False 	False 	False 	both 	"(0, 1) "	1	0	2	R 	R 	1	K 	K 	1	T 	R 	0	0
main	113	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, -1) "	1	2	0	G 	G 	1	S 	S 	1	N 	M 	0	0
main	114	aholcombe 	 T1 	0	4	0.1	False 	False 	True 	both 	"(0, 1) "	1	0	2	K 	K 	1	Z 	Z 	1	C 	C 	1	0
main	115	aholcombe 	 T1 	0	4	0.05	False 	False 	False 	both 	"(0, -1) "	2	1	0	E 	E 	1	M 	M 	1	N 	E 	0	0
