"trial","outOfCentralArea"
302,1
303,0.9741697416974175
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,0.9756637168141591
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,0.9275634995296328
321,1
322,1
323,1
324,0.986746987951807
325,1
326,1
327,0.9811490125673248
328,1
329,0.9708624708624707
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0.8161290322580668
340,0.8640256959314797
341,0.7871545929798327
342,1
343,0.8482490272373523
344,1
345,1
346,1
347,0.982680036463081
348,1
349,1
350,0.9569561875480408
351,1
352,1
353,1
354,0.9363636363636358
355,0.9557823129251692
356,1
357,1
358,1
359,0.973617021276596
360,0.9804469273743014
361,1
362,1
363,1
364,0.9788602941176469
365,1
366,0.9706122448979588
367,0.9904030710172744
368,1
369,1
370,1
371,0.9501625135427955
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0.9941634241245136
382,0.9169960474308314
383,1
384,1
385,1
386,0.9517948717948721
387,1
388,1
389,1
390,1
391,1
392,0.9516695957820743
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,0.6690211907164466
408,1
409,1
410,0.9694117647058828
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,0.933219178082193
432,0.9910313901345295
433,1
434,1
435,1
436,1
437,0.827517447657029
438,1
439,0.923939151321058
440,1
441,1
442,1
443,1
444,1
445,0.9561243144424136
446,0.9662576687116571
447,1
448,0.967588932806324
449,1
450,1
451,1
452,0.9921630094043887
453,0.9527243589743598
454,1
455,0.9709060681629265
456,0.9747807017543858
457,0.9917203311867525
458,1
459,1
460,0.935393258426968
461,1
462,0.9635316698656432
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,0.9764918625678118
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,0.9812353401094607
480,0.908333333333334
